id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
61162_0001,27.03,MACRON,33.11,53.26,LE PEN,29.05,46.74
61163_0001,23.36,MACRON,39.8,56.34,LE PEN,30.84,43.66
61164_0001,15.68,MACRON,45.41,59.15,LE PEN,31.35,40.85
61165_0001,24.13,MACRON,34.09,49.74,LE PEN,34.44,50.26
61166_0001,16.3,MACRON,43.7,55.14,LE PEN,35.56,44.86
61167_0001,28.44,MACRON,30.44,46.28,LE PEN,35.33,53.72
61167_0002,26.0,MACRON,26.0,37.86,LE PEN,42.67,62.14
61167_0003,15.2,MACRON,40.8,56.04,LE PEN,32.0,43.96
61167_0004,21.25,MACRON,41.88,59.29,LE PEN,28.75,40.71
61167_0005,24.19,MACRON,31.63,44.88,LE PEN,38.84,55.12
61167_0006,27.33,MACRON,24.32,36.49,LE PEN,42.34,63.51
61167_0007,17.79,MACRON,36.2,48.76,LE PEN,38.04,51.24
61167_0008,22.04,MACRON,30.65,41.91,LE PEN,42.47,58.09
